Александрув Куявский, КП
Александрув-Лодцкий, LD
Алверния, Массачусетс
Андрыхув, Массачусетс
Аннополь, Лу
Августов, ПД
Бабимост, ЛБ
Баборув, ОП
Баранув Сандомерский, ПК
Барчин, КП
Барчево, Западная Н.
Бардо, Д.С.
Барлинек, З.П.
Бартошице, Западная Н.
Барвице, З.П.
Белхатув, LD
Белжице, LU
Уайт, ОП
Бяла Писка, WN
Бяла-Подляска, LU
Бяла Равска, LD
Бялобжеги, Министерство здравоохранения
Бялогард, З.П.
Бялый Бор, ЗП
Белосток, ПД
Бич, Массачусетс
Белава, Д.С.
Бельск-Подляски, PD
Бельско-Бяла, SL
Берутув, Д.С.
Берунь, SL
Бежунь, МЗ
Бискупец, Западная Н.
Биштынек, Западная Н.
Билгорай, LU
Блаховния, SL
Боболице, ЗП
Бобова, Массачусетс
Бохня, Массачусетс
Бодзентин, СК
Богатыня, Д.С.
Богухвала, ПК
Богушув-Горце, DŚ
Бояново, ВП
Болеславец, Д.С.
Болкув, Д.С.
Борек Великопольски, WP
Борне Сулиново, ЗП
Бранево, Западная Н.
Браньск, ПД
Бродница, КП
Брок, МЗ
Брусий, премьер-министр
Брвинов, МЗ
Бжег, ОП
Бжег-Дольны, DŚ
Бжеско, Массачусетс
Бжеще, Массачусетс
Бжезины, LD
Бжесть Куявский, КП
Бжостек, ПК
Бжозув, ПК
Бук, В.П.
Буковно, Массачусетс
Буско-Здруй, СК
Быхава, ЛУ
Бычина, ОП
Быдгощ, КП
Быстрица Клодзка, DŚ
Бытом, SL
Бытом Оджаньски, LB
Бытув, премьер-министр
Бендзин, SL
Блашки, LD
Блажова, ПК
Блоне, МЗ
Цедыня, ЗП
Хелм, ЛУ
Челмек, МА
Хелмно, КП
Хелмжа, КП
Хмельник, СК
Хоцианов, Д.С.
Чоцивел, З.П.
Хоч, В.П.
Ходец, КП
Ходзеж, WP
Хойна, З.П.
Хойнице, премьер-министр
Хойнув, Д.С.
Хорощ, ПД
Чорзеле, МЗ
Хожув, SL
Хощно, З.П.
Хшанув, Массачусетс
Хенцины, СК
Цехановец, ПД
Цеханув, МЗ
Цехоцинек, КП
Цешанув, ПК
Цешин, SL
Цезковице, Массачусетс
Цыбинка, ЛБ
Чаплинек, З.П.
Чарна Белостоцкая, PD
Чарна Вода, премьер-министр
Блэк, премьер-министр
Чарнкув, WP
Чжов, Массачусетс
Чеховице-Дзедзице, SL
Челядзь, Сленск
Чемпинь, WP
Черниеево, WP
Черск, ПМ
Червенск, LB
Червёнка-Лещины, SL
Чижев, PD
Ченстохова, SL
Члопа, З.П.
Члухув, премьер-министр
Далешице, СК
Дарлово, ЗП
Дебжно, премьер-министр
Добчице, Массачусетс
Добегнев, LB
Добра (Турецкий район), WP
Добра (Лобезский уезд), ZP
Добре Място, Западная Н.
Добродзень, ОП
Добжаны, ЗП
Добжица, ВП
Добжинь-над-Вислой, КП
Дольск, ВП
Драно, З.П.
Дравско-Поморское, ЗП
Дрезденко Л.Б.
Дробин, МЗ
Дрогичин, ПД
Джевица, LD
Дукла, ПК
Душники-Здруй, ДЗ
Дынув, ПК
Дзялдово, ЗН
Дзялошице, СК
Дзялошин, LD
Дзержгонь, премьер-министр
Дзержонюв, DŚ
Дзивнув, ЗП
Добие, ВП
Домброва Белостоцкая, PD
Домброва Гурнича, SL
Домброва Тарновска, Массачусетс
Дембица, ПК
Деблин, Лу
Дембно, ЗП
Эльблонг, Западная Северная Каролина
Элк, Западная Н.
Фрамполь, ЛУ
Фромборк, Западная Невада
Гарволин, Миннесота
Гданьск, премьер-министр
Гдыня, премьер-министр
Гижицко, WN
Глиноек, МЗ
Гливице, SL
Гнев, премьер-министр
Гневково, КП
Гнезно, ВП
Гоголин, ОП
Гольчево, ЗП
Голенюв, З.П.
Голина, В.П.
Голуб-Добжинь, КП
Гонёндз, Д.П.
Горлице, Массачусетс
Гожув-Велькопольский, LB
Гожув-Слёнский, ОП
Гостынин, МЗ
Гостынь, ВП
Гоздница, ЛБ
Голаньч, WP
Голдап, ВН
Госьцино, ЗП
Грабов-над-Просной, WP
Граево, ПД
Гродкув, ОП
Гродзиск-Мазовецкий, МЗ
Гродзиск-Велькопольский, WP
Грудзёндз, КП
Грибов, Массачусетс
Грифице, З.П.
Грыфино, З.П.
Грыфув Слёнский, DŚ
Груец, МЗ
Губин, Л.Б.
Гура, Д.С.
Гура Кальвария, MZ
Горово Илавецкие, WN
Гузно, КП
Гобин, МЗ
Глогов, Д.С.
Глогов Малопольский, ПК
Глоговек, ОП
Гловно, LD
Глубчице, ОП
Глухолазы, ОП
Глушица, Д.С.
Главный железнодорожный вокзал, Гдыня
Хайнувка, ПД
Галинов, МЗ
Гелий, ПМ
Грубешув, LU
Имелин, SL
Иновроцлав, КП
Ивонич-Здруй, ПК
Избица Куявска, КП
Илава, Западная Н.
Илова, ЛБ
Илжа, МЗ
Иньско, З.П.
Яблоново-Поморское, КП
Яниково, КП
Яновец-Велькопольский, КП
Янув Любельский, LU
Ярачево, WP
Яроцин, ВП
Ярослав, ПК
Ясень, LB
Ястарня, премьер-министр
Ястрове, ВП
Ястшембе-Здруй, SL
Ясло, ПК
Явор, Д.С.
Явожно, SL
Явожина Сленска, DŚ
Едличе, ПК
Едлина-Здруй, Д.С.
Едвабне, PD
Елч-Ласковице, Д.С.
Еленя-Гура, доктор медицинских наук
Езиораны, Западная Северная Каролина
Йорданов, Массачусетс
Ютросин, В.П.
Юзефув (Билгорайский повят), LU
Юзефув (Отвоцкий район), Министерство здравоохранения
Юзефув-над-Вислой, LU
Енджейув, СК
Калети, SL
Калиш, ВП
Калиш Поморски, ZP
Кальвария Зебжидовска, Массачусетс
Каменная Гура, DŚ
Камень Краеньский, КП
Камень Поморский, ЗП
Каменьск, LD
Карчев, МЗ
Каргова, LB
Карлино, З.П.
Карпач, Д.С.
Картузы, ПМ
Катовице, SL
Казимеж Дольны, LU
Казимежа Велька, СК
Калушин, МЗ
Каньчуга, ПК
Кцыня, КП
Кельце, СК
Китж, ОП
Киселице, WN
Клечев, В.П.
Тикс, ПД
Ключборк, ОП
Кнурув, SL
Кнышин, ПД
Кобылин, В.П.
Кобылка, МЗ
Кок, Л.Ю.
Колбушова, ПК
Кольно, ПД
Колоновские, ОП
Колюшки, LD
Конецполь, SL
Конин, В.П.
Констанцин-Езёрна, МЗ
Константинов Лодзки, LD
Копшивница, СК
Корфатув, ОП
Короново, КП
Корше, Западная Нью-Йорк
Костшин, В.П.
Костшин-над-Одрой, LB
Кошалин З.П.
Кошице, Массачусетс
Косов Лацки, MZ
Коваль, К.П.
Ковалёво Поморское, КП
Ковари, доктор медицинских наук
Козегловы, SL
Козенице, МЗ
Колачице, ПК
Коло, ВП
Колобжег, ЗП
Коньске, СК
Костян, В.П.
Косцежина, премьер-министр
Козьмин Великопольский, WP
Кожухув, LB
Краженка, В.П.
Краков, Массачусетс
Крапковице, ОП
Красноброд, ЛУ
Красныстав, ЛУ
Красник, Л.Ю.
Кробия, ВП
Кросно, ПК
Кросно Оджаньске, LB
Кротошин, В.П.
Кросневице, LD
Крушвица, КП
Крыница Морская, премьер-министр
Крыница-Здруй, Массачусетс
Крынки, ПО
Кржановице, SL
Кшепице, SL
Кшешовице, Массачусетс
Кшивинь, ВП
Крест Великой Польши, Войска Польского
Ксёнж Велькопольский, WP
Кудова-Здруй, Д.С.
Кунув, СК
Кутно, LD
Кузня Рациборска, SL
Квидзын, премьер-министр
Курник, В.П.
Конты Вроцлавские, DŚ
Кендзежин-Козле, ОП
Кемпице, премьер-министр
Кемпно, ВП
Кентшин, Западная Н.
Кети, Массачусетс
Клечко, В.П.
Клобуц, SL
Клодава, ВП
Клодзко, Д.С.
Легионово, МЗ
Легница, ДС
Леско, ПК
Лешно, ВП
Левин Бжески, ОП
Лесна, Д.С.
Лесница, ОП
Лежайск, ПК
Либионж, Массачусетс
Лидзбарк, Западная Н.
Лидзбарк Варминьский, WN
Лиманова, Массачусетс
Липяны, ЗП
Липно, КП
Лейпциг, ПД
Липско, МЗ
Любачув, ПК
Любартув, LU
Любава, Западная Н.
Любавка, Д.С.
Любань, ДС
Любень Куявский, КП
Любин, Д.С.
Люблин, LU
Люблинец, SL
Лубневице, LB
Любомеж, Д.С.
Любовидз, МЗ
Любонь, ВП
Лубранец, КП
Лубско, ЛБ
Лубича Крулевска, LU
Львувек, В.П.
Львувек Слёнски, DŚ
